Date,ACN,ASGN,BR,BTCM,CACI,CDW,CNDT,CSPI,CTLP,CTSH,DMRC,DTST,DXC,EPAM,EXLS,FI,FIS,FORTY,G,GDS,GIB,GLOB,HCKT,IBM,III,INFY,INOD,IT,JKHY,LDOS,MGIC,PRFT,SAIC,TTEC,UIS,VNET,VYX,WAVD,WIT,WNS,WYY,XRX
2018-01-02,139.8345947265625,63.36000061035156,81.66802215576172,107.5,134.14999389648438,64.94828796386719,16.540000915527344,5.839521884918213,9.75,65.1178970336914,35.5,0.07000000029802322,78.34992980957031,108.4000015258789,12.052000045776367,65.17500305175781,84.05476379394531,39.19607162475586,30.31808090209961,23.020000457763672,54.56999969482422,45.119998931884766,13.841638565063477,109.54768371582031,3.7648725509643555,6.9448957443237305,1.2699999809265137,124.8499984741211,108.14563751220703,57.99699401855469,7.337193965911865,19.399999618530273,69.78961181640625,34.71855163574219,8.350000381469727,8.420000076293945,21.380367279052734,4.199999809265137,5.563961505889893,39.869998931884766,6.800000190734863,21.827320098876953
2018-01-03,140.47998046875,63.11000061035156,81.59607696533203,114.4000015258789,137.8000030517578,66.84757995605469,16.25,5.473578929901123,9.699999809265137,65.6685791015625,35.79999923706055,0.07000000029802322,79.83366394042969,109.7699966430664,12.088000297546387,65.70500183105469,84.54815673828125,40.1037712097168,30.40232276916504,23.0,54.16999816894531,44.970001220703125,13.789239883422852,112.55892944335938,3.7740559577941895,6.885209083557129,1.2599999904632568,125.19000244140625,108.28524017333984,57.92449188232422,7.337193965911865,19.3799991607666,69.63663482666016,34.63219451904297,8.350000381469727,9.0,21.521472930908203,4.199999809265137,5.524984836578369,39.400001525878906,6.900000095367432,21.797588348388672
2018-01-04,142.14340209960938,64.19000244140625,82.24365997314453,114.4000015258789,136.60000610351562,68.02068328857422,16.270000457763672,5.644870281219482,9.5,66.7056655883789,36.04999923706055,0.10000000149011612,81.7542953491211,110.02999877929688,12.21399974822998,66.62999725341797,85.17610168457031,40.1037712097168,30.814178466796875,23.15999984741211,54.02000045776367,45.36000061035156,13.7979736328125,114.83860778808594,3.8475165367126465,6.842576503753662,1.2200000286102295,127.30000305175781,110.42601776123047,58.72196578979492,7.573333740234375,19.600000381469727,70.15857696533203,34.63219451904297,8.600000381469727,8.970000267028809,20.907974243164062,4.199999809265137,5.505496025085449,39.13999938964844,6.699999809265137,22.065135955810547
2018-01-05,143.31590270996094,65.25,83.25102233886719,116.9000015258789,137.14999389648438,67.90894317626953,16.15999984741211,5.5786895751953125,9.600000381469727,67.27472686767578,36.650001525878906,0.07000000029802322,82.94952392578125,110.20999908447266,12.260000228881836,67.29000091552734,85.66050720214844,40.1037712097168,31.094985961914062,24.5,54.66999816894531,45.41999816894531,13.832905769348145,115.3996810913086,3.83833384513855,6.970473766326904,1.25,129.33999633789062,111.48705291748047,58.65852355957031,7.505866050720215,19.690000534057617,70.18557739257812,34.54582214355469,8.550000190734863,9.15999984741211,21.1656436920166,4.199999809265137,5.417798042297363,39.689998626708984,6.900000095367432,22.228633880615234
2018-01-08,144.46121215820312,67.94000244140625,83.76368713378906,118.5,138.25,68.01136779785156,16.459999084472656,5.8667731285095215,9.5,67.33897399902344,37.900001525878906,0.07000000029802322,82.88359832763672,110.69999694824219,12.315999984741211,67.42500305175781,85.87581634521484,40.387996673583984,31.431961059570312,24.65999984741211,54.18000030517578,46.40999984741211,13.88530445098877,116.095703125,3.7740559577941895,7.025897026062012,1.2200000286102295,130.30999755859375,111.52433013916016,60.15376281738281,7.421530246734619,19.690000534057617,70.80652618408203,35.1071891784668,8.649999618530273,9.140000343322754,21.766870498657227,4.099999904632568,5.524984836578369,40.689998626708984,6.800000190734863,22.48874855041504
2018-01-09,144.9429473876953,67.01000213623047,83.92558288574219,116.0,137.8000030517578,67.8344497680664,16.280000686645508,5.93684720993042,9.300000190734863,67.42157745361328,37.650001525878906,0.07000000029802322,83.77384185791016,111.0999984741211,12.229999542236328,68.1449966430664,86.15388488769531,41.139827728271484,31.41324806213379,25.190000534057617,53.75,46.79999923706055,13.981364250183105,116.35136413574219,3.7648725509643555,7.13674259185791,1.2300000190734863,128.9499969482422,112.6412353515625,60.02687454223633,7.421530246734619,19.770000457763672,70.5905532836914,34.50263977050781,8.5,8.770000457763672,21.45398712158203,4.5,5.554217338562012,41.099998474121094,6.900000095367432,22.436725616455078
2018-01-10,144.43392944335938,65.94999694824219,83.62876892089844,127.19999694824219,137.6999969482422,67.350341796875,16.43000030517578,5.93684720993042,9.199999809265137,67.88964080810547,37.349998474121094,0.07000000029802322,83.4441146850586,109.66000366210938,12.28600025177002,68.50499725341797,87.26624298095703,39.88372039794922,31.226028442382812,23.969999313354492,53.029998779296875,46.72999954223633,13.920234680175781,116.5999526977539,3.7924203872680664,7.243326187133789,1.2599999904632568,128.16000366210938,113.86051940917969,60.33500671386719,7.455265522003174,19.65999984741211,70.18557739257812,34.71855163574219,8.649999618530273,8.6899995803833,21.45398712158203,4.5,5.661403656005859,40.43000030517578,6.800000190734863,22.55563735961914
2018-01-11,144.6248016357422,66.9000015258789,84.05148315429688,125.30000305175781,141.35000610351562,67.71343231201172,16.709999084472656,5.948525905609131,9.399999618530273,67.92635345458984,38.849998474121094,0.2800000011920929,83.32872772216797,110.4000015258789,12.430000305175781,68.91500091552734,87.71478271484375,41.103153228759766,31.16985321044922,22.329999923706055,53.099998474121094,47.29999923706055,13.88530445098877,116.61414337158203,3.801602840423584,7.362698078155518,1.2599999904632568,129.61000061035156,114.1863021850586,61.114341735839844,7.337193965911865,19.899999618530273,71.15234375,34.54582214355469,9.0,8.890000343322754,22.04907989501953,4.5,5.573706150054932,41.130001068115234,6.900000095367432,23.67784309387207
2018-01-12,145.5337677001953,66.58999633789062,84.58216857910156,125.69999694824219,137.35000610351562,67.85308837890625,16.90999984741211,6.178213596343994,9.399999618530273,68.43115234375,39.0,0.5799999833106995,83.49356842041016,110.87000274658203,12.407999992370605,68.61000061035156,87.56227111816406,41.103153228759766,31.00138282775879,23.25,53.65999984741211,47.279998779296875,13.859105110168457,115.8613510131836,3.8199682235717773,7.1665849685668945,1.2000000476837158,130.1300048828125,114.83782958984375,60.74278259277344,7.548033714294434,19.6200008392334,70.7005844116211,34.80491638183594,8.899999618530273,8.670000076293945,21.993864059448242,4.900000095367432,5.53472900390625,41.099998474121094,6.699999809265137,24.354141235351562
2018-01-16,143.57952880859375,66.36000061035156,84.60914611816406,119.5,137.39999389648438,67.17345428466797,16.790000915527344,6.540264129638672,9.300000190734863,68.58719635009766,37.400001525878906,0.25999999046325684,83.30398559570312,110.19000244140625,12.513999938964844,68.75499725341797,87.16756439208984,40.06709289550781,31.00138282775879,20.200000762939453,54.369998931884766,48.13999938964844,13.7979736328125,116.3655776977539,3.7924203872680664,7.580125331878662,1.2000000476837158,130.0399932861328,115.16361236572266,60.208133697509766,7.463698387145996,19.3700008392334,70.19461059570312,34.32991027832031,8.899999618530273,8.270000457763672,22.128833770751953,4.699999809265137,5.778335094451904,41.45000076293945,6.400000095367432,24.042001724243164
